part,batch_id,attempt,n_reviews,input_chars,prompt_tokens,output_tokens,thinking_tokens,total_tokens,seconds,ok,error,model_version,timestamp
part0_control,2,1,15,4036,1649,2585,5737,9971,32.19,True,,gemini-2.5-flash,2026-09-23T18:26:19
part0_control,0,1,15,5054,1900,2596,5601,10097,32.81,True,,gemini-2.5-flash,2026-09-23T18:26:19
part0_control,1,1,15,5223,1920,2627,6077,10624,34.39,True,,gemini-2.5-flash,2026-09-23T18:26:19
part0_control,3,1,15,5762,2034,2621,10323,14978,47.75,True,,gemini-2.5-flash,2026-09-23T18:26:19
part0_control,5,1,15,4753,1795,2566,4546,8907,28.05,True,,gemini-2.5-flash,2026-09-23T18:27:08
part0_control,6,1,15,4490,1771,2859,5259,9889,32.34,True,,gemini-2.5-flash,2026-09-23T18:27:08
part0_control,4,1,15,4119,1707,2749,6239,10695,37.87,True,,gemini-2.5-flash,2026-09-23T18:27:08
part0_control,7,1,15,4455,1738,2883,7561,12182,39.95,True,,gemini-2.5-flash,2026-09-23T18:27:08
part0_control,9,1,15,4120,1684,2558,4595,8837,27.91,True,,gemini-2.5-flash,2026-09-23T18:27:49
part0_control,10,1,15,4476,1736,2946,5412,10094,33.23,True,,gemini-2.5-flash,2026-09-23T18:27:49
part0_control,11,1,15,4066,1654,2582,6155,10391,34.87,True,,gemini-2.5-flash,2026-09-23T18:27:49
part0_control,8,1,15,4584,1794,2619,8361,12774,44.53,True,,gemini-2.5-flash,2026-09-23T18:27:49
part0_control,14,1,15,3900,1603,2820,4703,9126,28.22,True,,gemini-2.5-flash,2026-09-23T18:28:35
part0_control,13,1,15,3961,1601,2602,5167,9370,31.43,True,,gemini-2.5-flash,2026-09-23T18:28:35
part0_control,12,1,15,4677,1770,2623,5248,9641,32.65,True,,gemini-2.5-flash,2026-09-23T18:28:35
part0_control,15,1,15,4949,1821,2859,6302,10982,37.8,True,,gemini-2.5-flash,2026-09-23T18:28:35
part0_control,16,1,15,4841,1806,2574,5361,9741,30.55,True,,gemini-2.5-flash,2026-09-23T18:29:14
part0_control,17,1,15,4967,1840,2907,5145,9892,31.17,True,,gemini-2.5-flash,2026-09-23T18:29:14
part0_control,18,1,15,5239,1902,2597,5055,9554,31.68,True,,gemini-2.5-flash,2026-09-23T18:29:14
part0_control,19,1,15,4183,1666,2597,5538,9801,33.3,True,,gemini-2.5-flash,2026-09-23T18:29:14
partC_sentiment,0,1,15,5054,1281,243,2285,3809,10.05,True,,gemini-2.5-flash,2026-09-23T18:29:48
partC_sentiment,2,1,15,4036,1030,153,2273,3456,10.61,True,,gemini-2.5-flash,2026-09-23T18:29:48
partC_sentiment,3,1,15,5762,1415,243,2395,4053,11.1,True,,gemini-2.5-flash,2026-09-23T18:29:48
partC_sentiment,1,1,15,5223,1301,153,2601,4055,11.48,True,,gemini-2.5-flash,2026-09-23T18:29:48
partC_sentiment,7,1,15,4455,1119,153,1922,3194,9.71,True,,gemini-2.5-flash,2026-09-23T18:30:01
partC_sentiment,6,1,15,4490,1152,153,2340,3645,11.36,True,,gemini-2.5-flash,2026-09-23T18:30:01
partC_sentiment,4,1,15,4119,1088,243,2430,3761,11.37,True,,gemini-2.5-flash,2026-09-23T18:30:01
partC_sentiment,5,1,15,4753,1176,243,2437,3856,12.39,True,,gemini-2.5-flash,2026-09-23T18:30:01
partC_sentiment,9,1,15,4120,1065,153,2026,3244,9.63,True,,gemini-2.5-flash,2026-09-23T18:30:14
partC_sentiment,10,1,15,4476,1117,243,2113,3473,10.7,True,,gemini-2.5-flash,2026-09-23T18:30:14
